epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,417.561,0.655,0.475,0.7984,0.9821,1,0.995,0.94642,0.39431,0.33141,0.83307,0.0011024,0.0011024,0.0011024
138,420.878,0.63627,0.43684,0.81275,0.98222,1,0.995,0.9467,0.37534,0.33178,0.83574,0.0010958,0.0010958,0.0010958
139,424.271,0.58022,0.49807,0.81157,0.98209,1,0.995,0.94755,0.38069,0.37671,0.83207,0.0010892,0.0010892,0.0010892
140,427.579,0.57022,0.42527,0.81912,0.98229,1,0.995,0.92308,0.36298,0.33188,0.82251,0.0010826,0.0010826,0.0010826
141,430.909,0.57209,0.44648,0.80007,0.98229,1,0.995,0.92308,0.36298,0.33188,0.82251,0.001076,0.001076,0.001076
142,434.421,0.60726,0.43474,0.81049,0.98251,1,0.995,0.995,0.30768,0.2859,0.82096,0.0010694,0.0010694,0.0010694
143,437.771,0.64968,0.46175,0.81914,0.98234,1,0.995,0.94783,0.32581,0.29232,0.82522,0.0010628,0.0010628,0.0010628
144,441.262,0.57145,0.43664,0.82587,0.98188,1,0.995,0.9228,0.43575,0.33787,0.83269,0.0010562,0.0010562,0.0010562
145,444.44,0.6485,0.47933,0.82963,0.98188,1,0.995,0.9228,0.43575,0.33787,0.83269,0.0010496,0.0010496,0.0010496
146,447.454,0.63188,0.46242,0.80961,0.98178,1,0.995,0.92344,0.4453,0.38057,0.83216,0.001043,0.001043,0.001043
147,450.259,0.55971,0.41319,0.84249,0.98195,1,0.995,0.94925,0.40611,0.35899,0.82984,0.0010364,0.0010364,0.0010364
148,453.528,0.69866,0.46503,0.79076,0.98257,1,0.995,0.90775,0.50084,0.40413,0.84743,0.0010298,0.0010298,0.0010298
149,456.844,0.62577,0.45708,0.77075,0.98257,1,0.995,0.90775,0.50084,0.40413,0.84743,0.0010232,0.0010232,0.0010232
150,460.205,0.65653,0.44108,0.79271,0.98289,1,0.995,0.854,0.50529,0.35155,0.84506,0.0010166,0.0010166,0.0010166
151,463.854,0.5937,0.45098,0.79292,0.98294,1,0.995,0.8955,0.49474,0.45837,0.85377,0.00101,0.00101,0.00101
152,467.951,0.61492,0.41908,0.79694,0.98287,1,0.995,0.8955,0.6029,0.41623,0.85608,0.0010034,0.0010034,0.0010034
153,471.525,0.60217,0.42782,0.80519,0.98287,1,0.995,0.8955,0.6029,0.41623,0.85608,0.0009968,0.0009968,0.0009968
154,474.556,0.55795,0.40998,0.79595,0.9827,1,0.995,0.8955,0.57621,0.37883,0.84994,0.0009902,0.0009902,0.0009902
155,477.908,0.58117,0.43422,0.80696,0.98257,1,0.995,0.8955,0.44121,0.35147,0.84446,0.0009836,0.0009836,0.0009836
156,481.049,0.56896,0.40751,0.76798,0.98245,1,0.995,0.8955,0.43547,0.28149,0.84208,0.000977,0.000977,0.000977
157,484.194,0.55128,0.40084,0.80186,0.98245,1,0.995,0.8955,0.43547,0.28149,0.84208,0.0009704,0.0009704,0.0009704
158,487.7,0.63301,0.4371,0.8079,0.98246,1,0.995,0.8955,0.50702,0.31373,0.8465,0.0009638,0.0009638,0.0009638
159,490.99,0.58069,0.40805,0.76644,0.98223,1,0.995,0.8955,0.6069,0.34452,0.85936,0.0009572,0.0009572,0.0009572
160,493.976,0.51647,0.42602,0.77387,0.98225,1,0.995,0.8955,0.53256,0.34289,0.84855,0.0009506,0.0009506,0.0009506
161,496.756,0.65761,0.43831,0.78855,0.98225,1,0.995,0.8955,0.53256,0.34289,0.84855,0.000944,0.000944,0.000944
162,500.376,0.56929,0.4364,0.82899,0.98204,1,0.995,0.94864,0.38142,0.31666,0.83485,0.0009374,0.0009374,0.0009374
163,503.857,0.56571,0.4162,0.78728,0.98218,1,0.995,0.94925,0.36069,0.32628,0.83678,0.0009308,0.0009308,0.0009308
164,506.89,0.62665,0.44113,0.81837,0.98217,1,0.995,0.94925,0.42059,0.32609,0.84411,0.0009242,0.0009242,0.0009242
165,510.13,0.57311,0.41518,0.80747,0.98217,1,0.995,0.94925,0.42059,0.32609,0.84411,0.0009176,0.0009176,0.0009176
166,512.806,0.57252,0.40978,0.83087,0.98195,1,0.995,0.94925,0.43656,0.31572,0.84423,0.000911,0.000911,0.000911
167,515.593,0.58461,0.42298,0.79182,0.98213,1,0.995,0.8955,0.42916,0.32008,0.8368,0.0009044,0.0009044,0.0009044
